Afghanistan,5853838,144098,-5709740,Asia
Albania,1250451,48810,-1201641,Europe
Algeria,2022337,250378,-1771959,Africa
American Samoa,1832,23608,21776,Oceania
Andorra,11132,45574,34442,Europe
Angola,668066,656434,-11632,Africa
Anguilla,2505,5715,3210,North America
Antigua and Barbuda,66561,29386,-37175,North America
Argentina,1076148,2281728,1205580,South America
Armenia,958190,190349,-767841,Asia
Aruba,21456,53593,32137,North America
Australia,598765,7685860,7087095,Oceania
Austria,600740,1738183,1137443,Europe
Azerbaijan,1163922,252228,-911694,Asia
Bahamas,53793,63583,9790,North America
Bahrain,58270,936094,877824,Asia
Bangladesh,7401763,2115408,-5286355,Asia
Barbados,99611,34869,-64742,North America
Belarus,1483626,1067090,-416536,Europe
Belgium,577463,2005479,1428016,Europe
Belize,52756,62043,9287,North America
Benin,681827,394276,-287551,Africa
Bermuda,21107,19739,-1368,North America
Bhutan,51998,53612,1614,Asia
Bolivia,927244,164121,-763123,South America
Bosnia and Herzegovina,1687639,36042,-1651597,Europe
Botswana,63561,110268,46707,Africa
Brazil,1897128,1079708,-817420,South America
British Virgin Islands,5355,22164,16809,North America
Brunei,45340,111959,66619,Asia
Bulgaria,1683074,184363,-1498711,Europe
Burkina Faso,1599347,723989,-875358,Africa
Burundi,551105,344767,-206338,Africa
Cambodia,1104819,79341,-1025478,Asia
Cameroon,441015,579209,138194,Africa
Canada,1292329,8049323,6756994,North America
Cape Verde,187558,15788,-171770,Africa
Cayman Islands,1908,29242,27334,North America
Central African Republic,816668,88546,-728122,Africa
Chad,222303,547494,325191,Africa
Chile,643800,1645015,1001215,South America
China,10461170,1039675,-9421495,Asia
Colombia,3024273,1905393,-1118880,South America
Comoros,150823,12496,-138327,Africa
Congo,223767,387606,163839,Africa
Cook Islands,21106,4579,-16527,Oceania
Costa Rica,150241,520729,370488,North America
Croatia,1039526,528056,-511470,Europe
Cuba,1757300,3024,-1754276,North America
Cyprus,173210,190366,17156,Asia
Czechia,1026108,540921,-485187,Europe
Denmark,257025,717574,460549,Europe
Djibouti,18365,119738,101373,Africa
Dominica,78191,8284,-69907,North America
Dominican Republic,1608567,603794,-1004773,North America
Ecuador,1127891,784787,-343104,South America
Egypt,3610461,543937,-3066524,Africa
El Salvador,1599058,42767,-1556291,North America
Equatorial Guinea,128774,230618,101844,Africa
Eritrea,802822,13934,-788888,Africa
Estonia,206631,199277,-7354,Europe
Eswatini,50039,32858,-17181,Africa
Ethiopia,946129,1085517,139388,Africa
Falkland Islands,1518,1957,439,South America
Fiji,233856,14087,-219769,Oceania
Finland,311889,386052,74163,Europe
France,2341908,8524876,6182968,Europe
French Guiana,4595,119249,114654,South America
French Polynesia,2157,30081,27924,Oceania
Gabon,48392,416651,368259,Africa
Gambia,139210,215659,76449,Africa
Georgia,861077,79368,-781709,Asia
Germany,3855268,15762457,11907189,Europe
Ghana,1004324,476412,-527912,Africa
Gibraltar,13389,11190,-2199,Europe
Greece,1088507,1340456,251949,Europe
Greenland,17866,5899,-11967,North America
Grenada,62204,7213,-54991,North America
Guadeloupe,12542,90206,77664,North America
Guam,2213,80472,78259,Oceania
Guatemala,1368431,84311,-1284120,North America
Guinea,550790,121437,-429353,Africa
Guinea-Bissau,111790,17945,-93845,Africa
Guyana,438413,31169,-407244,South America
Haiti,1769671,18884,-1750787,North America
Honduras,985077,39195,-945882,North America
Hong Kong,1007788,2962492,1954704,Asia
Hungary,714420,584567,-129853,Europe
Iceland,43251,65424,22173,Europe
India,17869492,4878704,-12990788,Asia
Indonesia,4601369,355505,-4245864,Asia
Iran,1325113,2797235,1472122,Asia
Iraq,2077976,365766,-1712210,Asia
Ireland,734317,871256,136939,Europe
Isle of Man,12032,43040,31008,Europe
Israel,358691,1953575,1594884,Asia
Italy,3258831,6386998,3128167,Europe
Jamaica,1118931,23629,-1095302,North America
Japan,808825,2770996,1962171,Asia
Jordan,814909,3457691,2642782,Asia
Kazakhstan,4203899,3732073,-471826,Asia
Kenya,535348,1050147,514799,Africa
Kiribati,5103,3126,-1977,Oceania
Kuwait,212271,3110159,2897888,Asia
Kyrgyzstan,774377,199011,-575366,Asia
Laos,1296051,48731,-1247320,Asia
Latvia,380010,239422,-140588,Europe
Lebanon,856814,1712762,855948,Asia
Lesotho,202164,12060,-190104,Africa
Liberia,233564,87947,-145617,Africa
Libya,185518,826537,641019,Africa
Liechtenstein,3706,25877,22171,Europe
Lithuania,658057,145184,-512873,Europe
Luxembourg,81757,298062,216305,Europe
Macao,145192,403490,258298,Asia
Madagascar,193526,35563,-157963,Africa
Malawi,311052,191362,-119690,Africa
Malaysia,1860037,3476560,1616523,Asia
Maldives,3715,70079,66364,Asia
Mali,1303511,485829,-817682,Africa
Malta,102793,114760,11967,Europe
Marshall Islands,10886,3298,-7588,Oceania
Martinique,12963,68624,55661,North America
Mauritania,130226,182286,52060,Africa
Mauritius,182973,28893,-154080,Africa
Mayotte,6767,111540,104773,Africa
Mexico,11185737,1197624,-9988113,North America
Moldova,1159443,104438,-1055005,Europe
Monaco,32552,26601,-5951,Europe
Mongolia,82098,21345,-60753,Asia
Montenegro,132965,70999,-61966,Europe
Montserrat,24582,1379,-23203,North America
Morocco,3262222,102358,-3159864,Africa
Mozambique,640160,338850,-301310,Africa
Myanmar,3711751,76446,-3635305,Asia
Namibia,47770,109391,61621,Africa
Nauru,2454,2201,-253,Oceania
Nepal,2599701,487564,-2112137,Asia
Netherlands,970403,2358333,1387930,Europe
New Caledonia,5839,73141,67302,Oceania
New Zealand,806159,1381724,575565,Oceania
Nicaragua,718154,42167,-675987,North America
Niger,399707,348056,-51651,Africa
Nigeria,1670455,1308568,-361887,Africa
Niue,5186,588,-4598,Oceania
North Korea,110377,49549,-60828,Asia
North Macedonia,693896,131311,-562585,Europe
Northern Mariana Islands,2741,21843,19102,Oceania
Norway,191392,852238,660846,Europe
Oman,25099,2372836,2347737,Asia
Pakistan,6328400,3276580,-3051820,Asia
Palau,2656,5088,2432,Oceania
Palestine,4022791,272784,-3750007,Asia
Panama,139520,313165,173645,North America
Papua New Guinea,4810,31068,26258,Oceania
Paraguay,896484,169567,-726917,South America
Peru,1519635,1224519,-295116,South America
Philippines,6094307,225525,-5868782,Asia
